Account Name,Date Created,Created By,Contact Name,Phone,Has Email
Gourmet Apple Bar and Grille,2022-04-04,Isabel,Mason Slater,73635323690,1
Feeling Saucy Pizzeria,2021-08-30,Camila,Dawson Castillo,33734126150,0
The Painted Fence,2021-11-16,Juliana,Bella Hunter,76188629520,0
Arch,2022-03-16,Valentina,Lane Davis,10040659710,0
Loyal Bazaar Kitchen,2022-08-29,Pedro,Ricky Hale,39056312640,1
Twirling Plates Tastes + Taps,2020-05-28,Miguel,Alaya Riley,40692286790,1
Brisk Bliss Ristorante,2022-06-09,Juliana,Ash Sutton,61070908640,0
The Pizza Bro Pizzeria,2022-04-26,Valentina,Hayden Everett,61604231980,0
Little China,2022-09-13,Pedro,Jude Pearce,90024904890,0
Scents of Humor,2020-04-11,Valentina,Emily Mitchell,75062128580,0
Lyrical Chef Bistro,2021-01-26,Mauricio,Megan Holmes,81979458720,1
Abacus,2022-03-10,Mauricio,Madeleine Lane,28230987790,1
The Glaze Maze,2022-09-01,Valentina,Owen Nicholson,50065708080,1
Luscious Layers,2020-07-13,Andrea,Alvin Cox,13437268370,0
The Big Spices,2022-01-28,Isabel,Gabe Jordan,35700653950,0
American Pineapple Café,2022-07-29,Carlos,Harley Ward,27882893720,0
The Boutique,2020-09-08,Valentina,Lily Hartman,22753243710,1
Flying Ingredients Coffee Bar,2020-10-21,Camila,Elliana Stout,85886986440,0
Great Buns,2022-06-06,Santiago,Eden Bradley,69156021560,1
The Fruitcake,2022-06-24,Mauricio,Emma Clark,39279735600,0
Ebony Temptations Cafe,2021-10-19,Andrea,Kayla Harris,42542526220,0
The Dwarf Walk,2021-06-20,Mauricio,Brooklynn Barr,73635323690,1
Proud Cove Provisions,2022-05-27,Isabel,Skylar Brooks,46854749160,1
Tin Horse Tavern,2022-01-23,Andrea,Frederick Sharp,51355683920,0
Little Waterfall Room,2022-06-02,Isabel,Ashton Dean,49873457160,0
The Torpedough,2020-09-14,Camila,Mack Vaughn,47907389970,1
Pestle & Mortar Coffee,2021-09-25,Carlos,Kira William,57509482550,1
The Golden Parlour,2021-02-25,Isabel,Louis Jefferson,32247327300,0
Grinders Cafeteria,2022-02-13,Valentina,Billy Allison,58762926270,0
The Urban Way,2021-06-06,Mauricio,Cassandra House,53768781650,1
The Copper Vaults,2021-08-27,Santiago,Rory Hunt,64999719130,1
Wide Awake Luncheonette,2021-05-01,Miguel,Dexter Dixon,38027277620,0
Southern Platter Trattoria,2020-09-21,Carlos,Shay Pearce,37287587390,0
Pizza Work Pizzeria,2021-06-05,Miguel,Evelyn Hamilton,37119016590,1
Dreaming Plate Provisions,2022-05-22,Mauricio,Valentino Castro,75539012610,1
Mad Hummingbird Ristorante,2021-02-15,Santiago,Shannon Dixon,83885194740,1
Pepperoni's Pizzeria,2022-06-07,Santiago,Fran Hamilton,83885194740,0
Sixth Scents,2020-01-18,Mauricio,Charlee Mckinney,38018985710,1
Pizza Squared Pizzeria,2022-08-12,Juliana,Riley Owen,37787269580,0
Glutton for Punishment,2021-04-14,Andrea,Drew Levine,76188629520,0
Secret Rest Espresso Bar,2020-08-24,Camila,Kit Cash,42474317170,1
Vanilla Cabin Cafe,2022-05-31,Miguel,Jesse Newman,75280908790,1
The Crystal Word,2022-02-04,Valentina,Charlotte Wilkinson,17349332270,1
The Solar Violin,2020-10-17,Juliana,Cameron Blake,89358746140,0
Bake Awake,2022-08-26,Andrea,Lily Hartman,22753243710,1
Knead Pizza Pizzeria,2022-02-28,Andrea,Tegan Bennett,47907389970,1
Roadhouse,2021-07-18,Pedro,Sidney Carter,66046091320,1
We Knead Dough,2022-08-17,Miguel,Roger Smith,63701816140,1
Taste of Heaven,2022-04-27,Mauricio,Roger Smith,63701816140,1
Knock On Wood Cafeteria,2020-02-01,Pedro,Rory Hunt,69123957250,0
Vintage Gloss Bar and Grille,2021-03-08,Miguel,Lane Black,76228760210,0
The Emperor,2021-05-30,Miguel,Julio Frederick,23691646990,0
The Dough Flow,2020-08-10,Pedro,Zaniyah Dotson,65507862900,1
Dough Oh Pizzeria,2021-06-03,Isabel,Mason Dawson,786720076,1
Cobalt Lady Inn,2022-04-06,Santiago,Dane Parsons,17185105200,1
Bizz Buzz Cafe,2020-12-12,Santiago,Rene Clayton,34388330860,0
Cheesus Pizzeria,2020-03-28,Valentina,Louis Jefferson,33726309310,1
New Apple Eats,2022-09-15,Juliana,Harvey Duncan,76820311480,0
Regular Shack Cafe,2022-09-01,Mauricio,Zion Best,10162536430,0
Wakey Bakey,2022-02-02,Valentina,Alex Holt,58200961840,1
Mellow Blaze House,2022-03-11,Carlos,Triston Conley,78098169570,1
The Prime Pizzeria,2020-05-13,Isabel,Anna Edwards,19690515050,0
The Tri-Slice Pizzeria,2021-04-02,Camila,Davis Richards,94407752340,1
Ambience,2022-07-26,Mauricio,Harrison Russell,14106675920,0
Common Grounds Joint,2020-01-16,Camila,Alfie Jordan,45976023520,1
The Upper Crust Pizzeria,2022-01-02,Andrea,Oscar Pearson,44817197300,1
Sweets and Such,2020-05-08,Santiago,Rudy Jacobson,10043586610,1
Moonshine Elephant Pub,2021-10-25,Andrea,Noah Rogers,80305477980,0
The Cottage,2022-07-20,Mauricio,Miley Abbott,62943631540,0
Rosy Charm Eatery,2020-03-02,Juliana,Kiran Allen,62370617340,0
Papa Pizza Pizzeria,2020-06-17,Andrea,Mollie Hughes,76805385570,1
Pestle & Mortar Lunchroom,2020-08-17,Santiago,Danni Roberts,51351374770,1
Let Them Eat Cake,2021-12-31,Camila,Jess Booth,36094608070,0
Roasters Coffee Shop,2021-08-09,Juliana,Malachi Wilder,15558133880,1
Lyrical Plum Tavern,2020-06-25,Juliana,Harley Hudson,21516601220,1
Apple Place,2021-07-31,Carlos,Skylar Brooks,46854749160,1
The All Around Pizzeria,2020-09-05,Pedro,Skyler Houghton,30221020940,0
Gentle,2022-06-04,Valentina,Mattie Maxwell,35573822800,1
The Court Trumpet,2021-04-29,Carlos,Kit Cash,11023982560,0
